I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50,I51,I52,I53,I54,I55,I56,I57,I58,I59,I60,I61,I62,I63
124261,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,2.18334198,1.10000229,-32.5048676,17.8734589,-42.1097488,-37.9425507,3,-999,-999,0,-10.627121,48.5593185,-30.5768433,18.6146603,-2.88689232,1.2020725,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0376661308,-0.0868236274,57.7343788,6,1,146.287079,0,1.87694204,0.38052249,2.97576952,1083.4082,3.98254275,-2.09661007,-1.84857476,0,0,3
124266,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,3.17460632,1.88889313,-33.0161591,19.0777168,-42.0695877,-38.9017677,4,-999,-999,0,-11.6290359,47.7580643,-27.7143879,18.3126678,-2.91035366,1.20056772,4,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0387596861,-0.082907021,58.8264046,6,1,146.287079,0,1.87694204,0.253032178,2.98931026,1084.83765,4.27707863,-1.92163181,-1.84196293,0,0,3
124271,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,3.17460632,1.88889313,-33.0161591,19.0777168,-42.0695877,-38.9017677,4,-999,-999,0,-11.6290359,47.7580643,-27.7143879,18.3126678,-2.91035366,1.20056772,4,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0387596861,-0.082907021,58.8264046,6,1,146.727051,0,1.89947236,0.253032178,2.98931026,1084.87793,4.54676437,-1.72310019,-1.82673228,0,0,3
124276,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,3.17460632,1.88889313,-33.0161591,19.0777168,-42.0388718,-39.1662445,2,-999,-999,0,-12.8499985,47.0500031,-29.4001465,19.0005932,-2.83015704,1.15928566,2,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0328047201,-0.0821051523,57.822258,6,1,146.727051,0,1.89947236,0.371935397,2.97685456,1084.87891,4.78636217,-1.48840058,-1.81302857,0,0,3
124281,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,3.17460632,1.88889313,-33.0161591,19.0777168,-42.0388718,-39.1662445,2,-999,-999,0,-12.8499985,47.0500031,-29.4001465,19.0005932,-2.83015704,1.15928566,2,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0328047201,-0.0821051523,57.822258,6,1,147.131714,0,1.93609238,0.371935397,2.97685456,1084.91553,5.00614262,-1.23445165,-1.79840541,0,0,3
124286,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,5.3500061,3.46667099,-30.072979,18.3784599,-42.0196838,-39.9361687,3,-999,-999,0,-13.3220367,45.796608,-27.9614067,18.3291054,-2.823349,1.15217984,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0395923667,-0.0692867339,60.0221596,6,1,147.131714,0,1.93609238,0.299453527,2.9850173,1087.63989,5.21294928,-0.936380446,-1.78516316,0,0,3
124291,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,5.3500061,3.46667099,-30.072979,18.3784599,-42.0196838,-39.9361687,3,-999,-999,0,-13.3220367,45.796608,-27.9614067,18.3291054,-2.823349,1.15217984,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0395923667,-0.0692867339,60.0221596,6,1,147.471924,0,1.99106288,0.299453527,2.9850173,1087.83191,5.36072254,-0.600421667,-1.75508273,0,0,3
124296,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,6.05357361,4.625,-32.9426155,16.8202724,-42.009079,-40.1439514,3,-999,-999,0,-14.8196793,45.2131119,-27.4620514,18.4846897,-2.78317857,1.13568723,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0372729488,-0.0564162582,58.6501312,6,1,147.471924,0,1.99106288,0.309844673,2.98395634,1106.40308,5.49485922,-0.215943858,-1.71576142,0,0,3
124301,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,6.05357361,4.625,-32.9426155,16.8202724,-42.009079,-40.1439514,3,-999,-999,0,-14.8196793,45.2131119,-27.4620514,18.4846897,-2.78317857,1.13568723,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0372729488,-0.0564162582,58.6501312,6,1,147.759781,0,2.03721046,0.309844673,2.98395634,1107.66431,5.59076691,0.198678285,-1.67913735,0,0,3
124306,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,7.07017517,5.61403656,-29.7288818,18.4778748,-42.7587547,-40.9066696,3,-999,-999,0,-15.0952301,43.7619095,-27.3965511,18.4477348,-2.73196006,1.15002656,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.037300352,-0.0454393812,60.3933105,6,1,147.759781,0,2.03721046,0.269857883,2.98783827,1094.14539,5.67255545,0.654618263,-1.62487435,0,0,3
